CandidateOrder,HighestLagCoefficient,HighestLagStandardError,HighestLagTRatio,HighestLagSignificant,Selected
1,0.324865649696329,0.0193537521155107,16.7856675934157,1,0
2,0.214972841136961,0.0199941577808894,10.7517827703868,1,0
3,0.082492576111739,0.0204116853358814,4.0414387520822,1,0
4,-0.0204342103682409,0.0204858149635289,-0.997480959611327,0,0
5,0.0876025565061337,0.0204197853900534,4.29008213518275,1,0
6,0.095497686321387,0.02041351122554,4.67816071749121,1,0
7,0.000707348708576953,0.020518325762843,0.0344739973793527,0,0
8,0.0449694552197413,0.0205066351507893,2.19292218782224,1,1
