Term,Lag,Estimate,StandardError,TRatio,Significant,RestrictedEstimate
phi_8,8,0.0568993396039403,0.0204815988301925,2.7780711884691,1,0.0568993396039403
phi_7,7,0.00637493934100019,0.0214417280955696,0.29731462466952,0,0
phi_6,6,0.00605502927096317,0.0214623884949305,0.282122806247468,0,0
phi_5,5,-0.0183811868791881,0.0214924564866867,-0.855238994694447,0,-0
phi_4,4,0.0382956516040837,0.0214914047582687,1.78190546568854,0,0
phi_3,3,-0.0594073479195333,0.0214585207498747,-2.76847358734549,1,-0.0594073479195333
phi_2,2,0.0600852020119922,0.0214213238149817,2.80492478107117,1,0.0600852020119922
phi_1,1,0.30960679697634,0.0204554571618792,15.1356576646609,1,0.30960679697634
phi_0,0,-8.94296989828338e-05,0.000266724265103579,-0.33528895073759,0,-0
