Series,Lag,ACF,StandardError,TRatio,Significant
Price,1,0.999579944087342,0.0353553390593274,28.2723902720892,1
Price,2,0.99886462104454,0.0456358782887402,21.8877045539625,1
Price,3,0.998073191084125,0.0539821775820201,18.4889390497014,1
Price,4,0.99735523057615,0.0611898731446972,16.2993511723366,1
Price,5,0.996700446739644,0.067624934667341,14.7386530078379,1
Price,6,0.996090645644682,0.0734913256051668,13.5538532941451,1
Price,7,0.995472511079557,0.0789164458007455,12.6142593090546,1
Price,8,0.99480730878351,0.0839857727123144,11.8449503607133,1
Price,9,0.994039826363903,0.0887598520508688,11.1992055348877,1
Price,10,0.993154467953335,0.0932831209263324,10.6466685300725,1
Price,11,0.992188876879257,0.0975894656922721,10.1669669962936,1
Price,12,0.991193064460604,0.101705798524989,9.74568882832253,1
Price,13,0.990217763250651,0.105654101653152,9.37226049681819,1
Price,14,0.98924321572403,0.109452722876206,9.03808685365363,1
Price,15,0.988200662078191,0.113116755293939,8.73611216579106,1
Price,16,0.987087679334142,0.116658407835321,8.46135051600868,1
Price,17,0.985946996802079,0.120088033781818,8.21020184736638,1
Price,18,0.984778747737793,0.123414796889739,7.9794220187196,1
Price,19,0.983578668029837,0.126646633366225,7.76632305089088,1
Price,20,0.982316325720728,0.129790442277164,7.56847968529933,1
Log return,1,0.322156115546335,0.0353627070575441,9.11005243524214,1
Log return,2,0.147248850848857,0.0365656155071789,4.02697585713955,1
Log return,3,0.0157624313705236,0.0368119585076734,0.428187795746809,0
Log return,4,0.0297261067459143,0.0368147717727235,0.80745052364928,0
Log return,5,-0.000672328914213895,0.0368247755658801,-0.0182575155960173,0
Log return,6,0.0168037331399893,0.0368247806826183,0.45631590544464,0
Log return,7,0.0278824431414262,0.0368279767968171,0.757099508758136,0
Log return,8,0.0702031648332557,0.0368367751555909,1.90579019299958,0
Log return,9,0.0688996757003093,0.0368925031158095,1.86757931507184,0
Log return,10,0.0270571423661526,0.0369461013674162,0.732340933542045,0
Log return,11,0.0212406923006328,0.0369543601579357,0.574781763501093,0
Log return,12,0.0318748970938313,0.0369594489124335,0.862428906051906,0
Log return,13,0.0748793788913593,0.0369709060080948,2.02535958612874,1
Log return,14,0.130959189057024,0.0370340690878624,3.53618147512568,1
Log return,15,0.100906164024242,0.037226605472261,2.71059267274399,1
Log return,16,0.101742411671439,0.037340443715158,2.72472422790566,1
Log return,17,0.0900362380973402,0.037455821949299,2.40379821911838,1
Log return,18,0.0578731018538372,0.0375459298812158,1.54139482060854,0
Log return,19,0.065397252394411,0.0375830958545425,1.74007092570334,0
Log return,20,0.0568790390019671,0.0376305006630025,1.51151427697823,0
