CandidateOrder,HighestLagCoefficient,HighestLagStandardError,HighestLagTRatio,HighestLagSignificant,Selected
1,0.322196871903135,0.0193385805691939,16.6608335472351,1,0
2,0.0486579613477,0.0204151061818491,2.38342925646703,1,0
3,-0.050431668783597,0.0204269551585318,-2.46887842031283,1,0
4,0.0354721398442156,0.0204511100062509,1.73448481932636,0,0
5,-0.0150190607106573,0.020471912402654,-0.733642290727574,0,0
6,0.0169625252372615,0.0204793489305495,0.828274633865832,0,0
7,0.0239147792519324,0.0205011714122055,1.16650794098988,0,0
8,0.0568993396039403,0.0204815988301925,2.7780711884691,1,1
