Term,Estimate,DirectEstimate,RescaledEstimate
alpha_1,0.243878079110857,0.243878079110857,0.244503264902267
alpha_0,4.972773185768e-06,4.972773185768e-06,5.01464071377739e-06
beta_1,0.746063036826207,0.746063036826207,0.745180711016982
