Horizon,Observation,LogReturnForecast,ConditionalVarianceForecast,ConditionalStdForecast,GaussianLower95,GaussianUpper95,PriceForecast
1,2401,-0.00286480637678741,0.000136473261598349,0.0116821770915506,-0.0257618734762266,0.0200322607226517,727.752141796654
2,2402,0.00130369051894051,0.000140073266068009,0.0118352552176964,-0.0218934097077444,0.0245007907456254,728.701524079929
3,2403,0.000301038682298368,0.000143637058510082,0.0119848678970643,-0.0231893023959476,0.0237913797605444,728.920924448869
4,2404,0.00117909715087975,0.000147165003177156,0.0121311583608968,-0.022597973236478,0.0249561675382374,729.780899931791
5,2405,0.000967897046798668,0.000150657460657843,0.0122742600859621,-0.0230896527216871,0.0250254468152845,730.487594658343
6,2406,0.000789245861299744,0.000154114787913638,0.0124142977213227,-0.0235427776724927,0.0251212693950922,731.064356542684
7,2407,-0.000790576691056735,0.000157537338315399,0.0125513879039491,-0.0253912969827969,0.0238101436006834,730.486622504362
8,2408,-0.000754583286610418,0.000160925461679469,0.0126856399791051,-0.0256184376456563,0.0241092710724355,729.935617423685
9,2409,-0.000554921578974451,0.000164279504303428,0.0128171566387958,-0.0256765485910143,0.0245667054330654,729.530672764971
10,2410,-0.0001639391275766,0.000167599809001492,0.0129460344894292,-0.0255381667268579,0.0252102884717047,729.411083945849
11,2411,-0.000142977855718012,0.000170886715139543,0.0130723645580875,-0.0257648123895696,0.0254788566781336,729.306801768328
12,2412,-4.69069910000272e-05,0.000174140558669827,0.0131962327453644,-0.0259115231719142,0.0258177091899141,729.272592983063
13,2413,-5.48679015724562e-05,0.00017736167216528,0.0133177202315291,-0.0261575995553695,0.0260478637522246,729.232580423924
14,2414,-6.15210275682076e-05,0.000180550384853529,0.0134369038417907,-0.0263978525574779,0.0262748105023415,729.187718666225
15,2415,-0.000164602971410607,0.000183707022650537,0.0135538563756053,-0.0267301614675971,0.0264009555247758,729.067702078831
16,2416,-0.000187462613990156,0.000186831908193916,0.0136686469042812,-0.0269780105463813,0.026603085318401,728.931041951356
17,2417,-0.000188429304499372,0.000189925360875905,0.0137813410405484,-0.0271998577439743,0.0268229991349756,728.793702921849
18,2418,-0.000161124772586266,0.000192987696876011,0.0138920011832713,-0.027389447091798,0.0270671975466255,728.676285661872
19,2419,-0.000153439529913515,0.00019601922919333,0.0140006867400614,-0.0275947855404338,0.0272879064806067,728.564486492566
20,2420,-0.000142967422581762,0.000199020267678536,0.0141074543301949,-0.0277935779097639,0.0275076430646003,728.460332951207
